plant,aphids,length,width,height,fitness
4,,53,46,20,1
6,,42,35,24,0
12,,30,23,16,0
13,,20,27,9,0
14,,37,36,11,0
16,1,22,19,16,0
19,,21,18,15,2
23,,33,27,27,2
27,,20,16,19,2
28,,17,13,11,0
29,,14,8,12,0
32,,11,9,4,0
34,,9,5,8,0
40,,58,56,30,0
43,,30,24,22,2
44,,18,12,12,0
46,,45,43,17,2
47,,27,25,16,0
48,,22,18,16,1
49,,23,21,11,0
53,1,25,23,25,0
54,1,16,12,10,0
55,1,13,9,6,0
56,,20,18,16,1
61,,33,30,21,1
63,,43,20,14,0
64,1,10,10,4,0
66,,27,25,14,1
76,,18,16,14,1
78,,20,18,11,1
79,,43,30,14,0
80,1,17,10,8,0
87,,48,48,18,1
90,1,10,6,7,0
91,1,13,9,8,0
92,,51,39,17,2
95,,15,10,4,0
96,1,15,10,11,1
98,,32,26,20,2
104,,25,20,13,0
106,,50,48,18,0
108,,17,15,13,0
109,,9,5,11,0
111,,18,17,14,0
116,,19,15,10,1
117,,15,10,13,0
118,,12,10,8,0
119,,18,10,12,0
120,,12,11,10,0
121,,11,9,9,0
122,1,11,8,8,1
124,1,22,20,15,1
125,,17,11,14,0
126,,18,15,12,0
127,,44,38,12,0
128,,19,14,14,0
129,,21,20,18,0
130,,18,17,14,1
133,,22,18,15,1
139,,45,39,15,0
140,,57,47,20,0
142,,18,16,12,0
144,,23,19,17,0
145,,10,10,12,0
154,1,19,14,12,0
157,,37,27,15,1
160,,20,18,11,0
162,,15,14,13,1
163,,48,48,20,2
165,,24,18,15,0
166,,12,11,10,0
169,,15,13,12,1
170,,23,22,15,2
172,,27,19,10,0
173,,20,20,20,0
174,,35,22,16,1
176,,9,4,7,0
178,1,30,21,12,2
180,,3,2,3,0
183,,48,44,18,0
184,,16,12,16,0
186,,52,51,19,2
187,,12,8,10,0
199,,3,2,2,0
201,,55,42,19,0
202,,18,10,15,0
204,1,14,15,8,0
207,,13,13,10,0
211,,16,14,15,2
216,,24,22,10,0
217,,24,22,24,2
218,,21,18,12,2
220,,11,9,8,0
222,1,19,15,8,0
231,,24,20,11,0
232,,10,4,8,0
235,,18,14,12,0
238,1,12,10,11,0
239,,50,43,12,0
246,1,13,9,8,0
248,,31,26,22,1
254,,14,10,10,1
258,,19,18,12,0
259,,18,12,12,0
269,,13,11,17,0
274,1,14,10,11,0
276,,42,31,16,1
277,,9,4,3,0
278,,18,15,15,0
281,,9,5,4,0
288,,20,22,22,2
291,,26,28,12,2
295,,20,14,19,0
296,,12,8,12,1